,U/V,W/mW,,,,
,0,0.63,,,,
,10,0.76,,,,
,20,0.95,,,,
,30,1.12,,,,
,40,1.25,,,,
,50,1.36,,,,
,60,1.53,,,,
,70,1.73,,,,
,80,1.82,,,,
,90,1.95,,,,
,100,2.09,,,,
,110,2.30,,,,
,120,2.75,,,,
,130,3.05,,,,
,140,3.05,,,,
,150,3.17,,,,
,160,3.28,,,,
,170,3.47,,,,
,180,3.73,,,,
,190,3.91,,,,
,200,4.12,,,,
,210,4.21,,,,
,220,4.30,,,,
,230,4.47,,,,
,240,4.63,,,,
,250,4.76,,,,
,260,4.84,,,,
,270,4.91,,,,
,280,4.95,,,,
,290,5.02,,,,
,300,5.05,,,,
,310,5.02,,,,
,320,4.98,,,,
,330,4.92,,,,
,340,4.81,,,,
,350,4.55,,,,
,360,4.23,,,,
,370,4.03,,,,
,380,4.33,,,,
,390,4.38,,,,
,400,4.28,,,,
,410,4.07,,,,
,420,3.77,,,,
,430,3.53,,,,
,440,3.25,,,,
,450,2.98,,,,
,460,2.75,,,,
,470,2.53,,,,
,480,2.32,,,,
,490,2.13,,,,
,500,1.89,,,,
,510,1.70,,,,
,520,1.55,,,,
,530,1.45,,,,
,540,1.41,,,,
,550,1.32,,,,
,560,1.27,,,,
,570,1.15,,,,
,580,1.04,,,,
,590,0.80,,,,
,600,0.62,,,,
,610,1.45,,,,
,620,0.38,,,,
,630,0.23,,,,
,640,0.19,,,,
,650,0.17,,,,
,660,0.16,,,,
,670,0.16,,,,
,680,0.18,,,,
,690,0.23,,,,
,700,0.29,,,,
,710,0.33,,,,
,720,0.41,,,,
,730,0.50,,,,
,740,0.59,,,,
,750,0.70,,,,
,760,0.84,,,,
,770,0.99,,,,
,780,1.14,,,,
,790,1.35,,,,
,800,1.54,,,,
,810,1.72,,,,
,820,1.85,,,,
,830,2.05,,,,
,840,2.19,,,,
,850,2.34,,,,
,860,2.52,,,,
,870,2.85,,,,
,880,3.26,,,,
,890,3.50,,,,
,900,3.71,,,,
,910,3.72,,,,
,920,3.85,,,,
,930,4.04,,,,
,940,4.22,,,,
,950,4.40,,,,
,960,4.59,,,,
,970,4.76,,,,
,980,4.83,,,,
,990,4.92,,,,
,1000,5.01,,,,
,1010,5.08,,,,
,1020,5.13,,,,
,1030,5.19,,,,
,1040,5.28,,,,
,1050,5.37,,,,
,1060,5.31,,,,
,1070,5.20,,,,
,1080,5.09,,,,
,1090,5.01,,,,
,1100,4.92,,,,
,1110,4.81,,,,
,1120,4.77,,,,
,1130,4.66,,,,
,1140,4.58,,,,
,1150,4.53,,,,
,1160,4.38,,,,
,1170,4.28,,,,
,1180,4.01,,,,
,1190,3.80,,,,
,1200,3.65,,,,
,1210,3.45,,,,
,1220,3.25,,,,
,1230,2.99,,,,
,1240,2.72,,,,
,1250,2.46,,,,
,1260,2.20,,,,
,1270,1.92,,,,
,1280,1.70,,,,
,1290,1.49,,,,
,1300,1.25,,,,
,1310,1.07,,,,
,1320,0.92,,,,
,1330,0.79,,,,
,1340,0.67,,,,
,1350,0.57,,,,
,1360,0.46,,,,
,1370,0.39,,,,
,1380,0.32,,,,
,1390,0.29,,,,
,1400,0.27,,,,
,1410,0.25,,,,
,1420,0.24,,,,
,1430,0.25,,,,
,1440,0.29,,,,
,1450,0.36,,,,
,1460,0.45,,,,
,1470,0.55,,,,
,1480,0.68,,,,
,1490,0.79,,,,
