,电磁铁励磁电源U/V,数字式高斯计/Gs,,电磁铁励磁电源U/V,数字式高斯计/Gs,
,0,3217,,0,3197,
,0.2,3223,,0.2,3203,
,0.4,3229,,0.4,3208,
,0.6,3235,,0.6,3214,
,0.8,3241,,0.8,3220,
,1.0,3247,,1.0,3225,
,1.2,3252,,1.2,3231,
,1.4,3258,,1.4,3236,
,1.6,3264,,1.6,3242,
,1.8,3269,,1.8,3247,
,2.0,3275,,2.0,3253,
,2.2,3280,,2.2,3258,
,2.4,3286,,2.4,3264,
,2.6,3292,,2.6,3269,
,2.8,3297,,2.8,3275,
,3.0,3303,,3.0,3280,
,3.2,3309,,3.2,3286,
,3.4,3314,,3.4,3292,
,3.6,3320,,3.6,3297,
,3.8,3326,,3.8,3303,
,4.0,3331,,4.0,3308,
,4.2,3337,,4.2,3314,
,4.4,3343,,4.4,3319,
,4.6,3348,,4.6,3325,
,4.8,3354,,4.8,3330,
,5.0,3360,,5.0,3336,
,,,,,,
,,,,,,
,,,,,,
,共振位3/mm,7.795,,共振时电压U/V,4.61,4.98
,共振位1/mm,52.730,共振位2/mm,30.450,lamda,44.56
,,,,10V下X-Y图像一格电压差,0.138V,
,Frequency/GHz,9.3750,9.3775,9.3765,DPPH半高宽,1.6格
,,测试方法,在X-Y图像中，调整电磁铁励磁电源电压，使吸收峰移动一格，记录电压变化,,,
,,,,TEMPO共振电压,5.05,
,,,,,TEMPO半高宽,6格
,,分析两样品结果，DPPH比参考值偏大，TEMPO固体比参考值偏小，由于仪器线宽与样品是卷积关系，可以推测仪器线宽介于DPPH与TEMPO之间,,,,
