,,,,,,
,I/uA,V/V,,,,
,5,403,,,,
,5,407,,,,
,8,400,,,,
,9,402,,,,
,9,404,,,,
,12,381,,,,
,12,386,,,,
,15,378,,,,
,16,381,,,,
,19,378,,,,
,21,376,,,,
,24,372,,,,
,26,369,,,,
,28,368,,,,
,31,362,,,,
,33,359,,,,
,35,357,,,,
,40,350,,,,
,48,326,,,,
,50,323,,,,
,53,321,,,,
,58,320,,,,
,64,321,,,,
,70,323,,,,
,78,325,,,,
,83,327,,,,
,93,331,,,,
,125,343,,,,
,142,349,,,,
,166,357,,,,
,195,367,,,,
,238,379,,,,
,249,382,,,,
,260,388,,,,
,267,389,,,,
,269,392,,,,
,291,398,,,,
,305,402,,,,
,311,405,,,,
,318,408,,,,
,331,412,,,,
,339,414,,,,
,352,419,,,,
,376,425,,,,
,392,431,,,,
,411,437,,,,
,437,445,,,,
,450,449,,,,
,470,455,,,,
,488,461,,,,
,521,470,,,,
,550,478,,,,
,589,490,,,,
,608,496,,,,
,640,503,,,,
,677,513,,,,
,772,536,,,,
,921,569,,,,
,1042,592,,,,
,1170,615,,,,
,1203,625,,,,
,1265,633,,,,
,1317,642,,,,
,1355,649,,,,
,1444,664,,,,
,1500,674,,,,
