,,,,,,
,I/uA,U/V,,,,
,3,436,,,,
,3,436,,,,
,6,404,,,,
,7,421,,,,
,8,404,,,,
,11,395,,,,
,11,399,,,,
,12,401,,,,
,14,397,,,,
,16,397,,,,
,19,390,,,,
,22,393,,,,
,24,391,,,,
,25,392,,,,
,26,391,,,,
,28,388,,,,
,29,388,,,,
,31,386,,,,
,38,378,,,,
,40,377,,,,
,41,376,,,,
,45,373,,,,
,52,366,.,,,
,58,355,,,,
,68,343,,,,
,70,340,,,,
,79,334,,,,
,117,306,.,,,
,136,310,,,,
,161,314,,,,
,192,319,,,,
,233,327,,,,
,246,329,,,,
,250,330,,,,
,265,332,,,,
,269,333,,,,
,278,334,,,,
,285,336,,,,
,307,340,,,,
,331,344,,,,
,342,345,,,,
,352,347,,,,
,366,349,,,,
,375,351,,,,
,395,355,,,,
,422,360,.,,,
,452,364,,,,
,472,369,,,,
,517,374,,,,
,534,377,,,,
,571,384,,,,
,600,387,,,,
,656,394,,,,
,684,398,,,,
,742,404,,,,
,747,406,,,,
,790,411,,,,
,850,418,,,,
,990,436,,,,
,1233,462,,,,
,1400,479,,,,
,1632,501,,,,
,1707,508,,,,
,1800,519,,,,
,1840,524,,,,
,1875,527,,,,
,1970,538,,,,
,2041,544,,,,
