,U/V,I/uA,,,,
,-98.4,-4,,,,
,-93.3,-3,,,,
,-88,-3,,,,
,-83,-3,,,,
,-78,-3,,,,
,-73,-2,,,,
,-67.9,-2,,,,
,-63,-2,,,,
,-58,-1,,,,
,-53,-1,,,,
,-48,-1,,,,
,-43,-1,,,,
,-38,0,,,,
,-33,0,,,,
,-28,0,,,,
,-23,0,,,,
,-18,1,,,,
,-13,2,,,,
,-8,5,,,,
,-6,7,,,,
,-4,9,,,,
,-3,11,,,,
,-2,12,,,,
,-1,14,,,,
,0,15,,,,
,0.8,17,,,,
,1.6,18,,,,
,2.5,20,,,,
,3.2,22,,,,
,4.2,24,,,,
,5.2,26,,,,
,6.1,28,,,,
,6.9,30,,,,
,7.7,32,,,,
,8.7,34,,,,
,9.5,36,,,,
,10,38,,,,
,10.9,40,,,,
,11.5,42,,,,
,12,44,,,,
,12.7,46,,,,
,13.3,48,,,,
,13.7,50,,,,
,14.1,52,,,,
,14.7,55,,,,
,15.4,58,,,,
,16.1,61,,,,
,16.5,64,,,,
,17,67,,,,
,17.5,70,,,,
,18,73,,,,
,18.3,76,,,,
,18.7,79,,,,
,19.1,82,,,,
,19.4,85,,,,
,19.8,88,,,,
,20.2,92,,,,
,20.7,95,,,,
,21.1,98,,,,
,21.6,101,,,,
,22,104,,,,
,22.5,107,,,,
,22.8,115,,,,
,23.2,119,,,,
,23.5,122,,,,
,23.8,126,,,,
,24.1,129,,,,
,24.4,133,,,,
,24.9,141,,,,
,25.2,145,,,,
,25.6,150,,,,
,25.8,155,,,,
,26.1,161,,,,
,26.5,167,,,,
,26.8,175,,,,
,27.3,181,,,,
,27.7,187,,,,
,28,193,,,,
,28.4,198,,,,
,28.8,198,,,,
,29.2,203,,,,
,29.5,208,,,,
,30.1,214,,,,
,30.7,221,,,,
,31.3,228,,,,
,32.2,233,,,,
,32.8,241,,,,
,33.3,248,,,,
,34,253,,,,
,34.9,260,,,,
,35.8,272,,,,
,36.3,276,,,,
,36.9,285,,,,
,37.2,290,,,,
,37.7,300,,,,
,37.8,308,,,,
,38.2,322,,,,
,38.5,333,,,,
,39,344,,,,
,39.5,356,,,,
,40.1,369,,,,
,40.8,381,,,,
,41.5,394,,,,
,42.2,405,,,,
,42.8,414,,,,
,43.8,424,,,,
,45.1,432,,,,
,46.2,440,,,,
,48.5,451,,,,
,52.4,461,,,,
,56.9,471,,,,
,61.4,473,,,,
,66,478,,,,
,70.9,496,,,,
,74.9,501,,,,
,80.2,503,,,,
,85.0,510,,,,
,90.1,516,,,,
,94.6,520,,,,
,100,525,,,,
